Word,Vocabulary,Weight
achy,pain,1
acute,pain,1
agonising,pain,1
bad,pain,1
crippling,pain,1
broken,pain,1
dull,pain,1
excruciating,pain,1
gnawing,pain,1
inflamed,pain,1
irritated,pain,1
itchy,pain,1
painful,pain,1
painfully,pain,1
raging,pain,1
raw,pain,1
severe,pain,1
sharp,pain,1
sore,pain,1
stabbing,pain,1
stiff,pain,1
stinging,pain,1
tender,pain,1
torturous,pain,1
unendurable,pain,1
violent,pain,1
hand,body,1
leg,body,1
arm,body,1
head,body,1
back,body,1
foot,body,1
feet,body,1
neck,body,1
stomach,body,1
forearm,body,1
calf,body,1
fire,threat,1
water,threat,1
shaking,threat,1
ground,threat,1
earthquake,threat,1
tsunami,threat,1
burning,threat,1
flooding,threat,1
flood,threat,1
falling,threat,1
propagating,threat,1
